timestamp,kwh
2024-01-01 00:00,120
2024-01-01 01:00,115
2024-01-01 02:00,118
2024-01-01 03:00,110
2024-01-02 00:00,130
2024-01-02 01:00,128
2024-01-02 02:00,125
2024-01-02 03:00,135
2024-01-03 00:00,140
2024-01-03 01:00,138
2024-01-03 02:00,142
2024-01-03 03:00,145
2024-01-04 00:00,150
2024-01-04 01:00,148
2024-01-04 02:00,152
2024-01-04 03:00,149
2024-01-05 00:00,160
2024-01-05 01:00,158
2024-01-05 02:00,165
2024-01-05 03:00,162
2024-01-06 00:00,170
2024-01-06 01:00,168
2024-01-06 02:00,175
2024-01-06 03:00,172
2024-01-07 00:00,180
2024-01-07 01:00,178
2024-01-07 02:00,185
2024-01-07 03:00,182
